Day,High(t-1), Low (t-1), Closing(t-1) , No. of Trades (t-1), No. of Shares (t-1), Turnover(t-1) , Closing ,
1/4/2010,222,201,219.25,92,100200,21599100,220.25,
1/5/2010,226.25,219,220.25,87,133400,29577850,218,
1/6/2010,220.5,216,218,17,27500,6025750,220,
1/7/2010,220,217,220,53,78600,17230225,222,
1/8/2010,224,218,222,27,27300,6052350,222,
1/11/2010,223.5,222,222,31,118000,26197500,219.75,
1/12/2010,222,217,219.75,37,106300,23458975,218.25,
1/13/2010,219.25,218,218.25,2,700,152850,217.75,
1/15/2010,219.25,217,217.75,31,25300,5529650,215.5,
1/18/2010,217.75,215,215.5,42,89300,19247100,213.5,
1/19/2010,215.5,212.5,213.5,40,92100,19784775,214.25,
1/20/2010,214.25,213,214.25,21,18100,3873625,220,
1/21/2010,220,213.5,220,38,157100,33804350,217,
1/22/2010,220,217,217,25,53900,11839550,215.5,
1/25/2010,220,215,215.5,31,33000,7163600,217.5,
1/26/2010,219,216,217.5,19,28100,6111400,220,
1/28/2010,222,215.5,220,85,200200,44009275,230,
2/1/2010,260,225,230,290,133200,31218300,229.25,
2/2/2010,244.75,228,229.25,84,75800,17525775,225.25,
2/3/2010,230,225,225.25,44,28600,6488025,224.75,
2/5/2010,225,224,224.75,29,32600,7326550,224.75,
2/8/2010,226,223,224.75,28,32200,7240600,224.75,
2/9/2010,225,220.5,224.75,31,81900,18228000,220.25,
2/10/2010,221,220,220.25,24,21500,4734125,216.75,
2/11/2010,220,216,216.75,19,5100,1110500,215.75,
2/12/2010,220,215,215.75,33,35000,7560250,212.5,
2/15/2010,215.5,210,212.5,23,115800,24898625,212.25,
2/16/2010,213.5,211,212.25,13,54000,11595375,220.25,
2/17/2010,224,213,220.25,36,1452500,319535150,227.75,
2/18/2010,230,224.75,227.75,43,21400,4874050,229,
2/19/2010,230,224,229,4,2300,526950,228.5,
2/22/2010,229.75,220.25,228.5,22,26500,5967350,231,
2/23/2010,232,229.75,231,25,17100,3936750,230.25,
2/24/2010,232,230,230.25,35,9700,2234825,230.5,
2/25/2010,233,230.5,230.5,34,69300,15987000,236.5,
2/26/2010,239,230.5,236.5,40,23500,5553875,238.5,
3/1/2010,240,238,238.5,49,19300,4612225,237.5,
3/2/2010,239,237,237.5,30,11700,2783525,240.25,
3/3/2010,241,237,240.25,45,32500,7722875,240.25,
3/4/2010,241.75,240,240.25,23,12100,2912400,241.25,
3/5/2010,242.75,239.5,241.25,73,475000,114951900,240,
3/8/2010,243,239,240,37,62800,15064600,240,
3/9/2010,242,239,240,29,44000,10557075,240,
3/10/2010,242.75,239.75,240,36,40100,9624175,239.75,
3/11/2010,240.5,239,239.75,26,26300,6312150,240.25,
3/12/2010,241,240,240.25,15,5600,1344150,239,
3/15/2010,243,239,239,48,40200,9683925,227.75,
3/26/2010,228,212.5,227.75,70,106800,24170125,228.25,
3/30/2010,228.75,226,228.25,23,31000,7035300,222,
3/31/2010,222.75,221.25,222,38,52200,11572875,222.5,
